name,cultures,taxid,sci_name,chromosome_numbers,genome_size,genome_gc_content,gene_counts,protein_coding_genes

Pseudomonas savastanoi,"['1a', '535b', '535', '54', '1']",29438,Pseudomonas savastanoi,1,5999881,3508289,5186,5019

Thermodesulfovibrio yellowstonii,"['830', '749', '514f', '92', '1183', '535', '641', '693']",289376,Thermodesulfovibrio yellowstonii DSM 11347,1,2003803,683876,2050,1990

Rhodococcus pyridinivorans,"['90', '220', '53', 'J43', '535']",1435356,Rhodococcus pyridinivorans SB3094,3,5590512,3790017,5222,5034

Wielerella bovis,"['535', '693']",2917790,Wielerella bovis,1,2339861,994352,2340,2231

Daeguia caeni,['535'],1219035,Caenibius tardaugens NBRC 16725,1,4358096,2669266,4117,3989

Kozakia baliensis,"['J710', '955', 'J709', '105', '360', 'J97']",153496,Kozakia baliensis,6,3093577,1783744,2987,2849

Kluyvera ascorbata,"['J22', '426', '425', 'J52', 'J12', '553', 'J43', 'J75', '92', 'J42', 'J574', '554', '1', '83', '65', '693']",51288,Kluyvera ascorbata,2,5062542,2735686,4830,4623

Butyricimonas virosa,"['J14', 'J84', '104', '693']",544645,Butyricimonas virosa,1,4813143,2042698,3979,3878

Agromyces soli,"['J475', '92']",659012,Agromyces soli,1,3810275,2750173,3631,3566

Halovivax ruber,"['J168', '514']",797302,Halovivax ruber XH-70,1,3223876,2074114,3154,3078

Sporacetigenium mesophilum,['104b'],104268,Tenacibaculum mesophilum,1,3344178,1063379,3064,2978

Pseudoalteromonas piscicida,"['J118', '246', '243', '514', '627']",43662,Pseudoalteromonas piscicida,2,5380608,2334257,4688,4516

Bacteroides uniformis,"['J14', 'J84', 'J13', '78', '1203a', '215', '693']",997890,Bacteroides uniformis CL03T12C37,2,4920161,2273311,4085,3936

Pseudodesulfovibrio halophilus,['496'],643562,Pseudodesulfovibrio aespoeensis Aspo-2,1,3629109,2270442,3396,3300

Mycoplasma feriruminatoris,['1076b'],1179777,Mycoplasma feriruminatoris,2,1020119,246680,857,816

Lysobacter ginsengisoli,['830'],2591633,Lysobacter alkalisoli,1,3857091,2567288,3432,3280

Halobacteroides elegans,['591'],748449,Halobacteroides halobius DSM 5150,1,2649255,859838,2627,2509

Mycobacterium heckeshornense,"['645', 'J386']",110505,Mycobacterium heckeshornense,1,4865109,3206307,4668,4404

Gordonia otitidis,"['535', '65', 'J43']",249058,Gordonia otitidis,1,5108829,3347588,4618,4500

Eubacterium callanderi,"['J14', '1611', '1203a', '397']",53442,Eubacterium callanderi,1,4316707,2050328,4159,4059

Actinoplanes subglobosus,"['987', '553', '535', '83', '65']",113562,Actinoplanes derwentensis,1,10654181,7389406,9589,9358

Jatrophihabitans huperziae,"['535', '830']",2038343,Jatrophihabitans telluris,1,4193897,2857062,3864,3791

Georgenia halophila,"['J569', '514']",2483799,Georgenia faecalis,1,3432109,2534925,3018,2928

Megalodesulfovibrio gigas,"['110', '381', '149', '1']",1121448,Megalodesulfovibrio gigas DSM 1382 = ATCC 19364,2,3796022,2404344,3404,3320

Niastella koreensis,['830'],700598,Niastella koreensis GR20-10,1,9033684,4053391,7182,7102

Spiroplasma culicicola,['1076b'],1276246,Spiroplasma culicicola AES-1,1,1175131,309783,1102,1063

Petrimonas mucosa,"['693', '104']",1642646,Petrimonas mucosa,1,3717632,1783489,3021,2917

Lactobacillus amylovorus,"['J84', 'J30', '11', 'J13', 'J25']",695562,Lactobacillus amylovorus GRL1118,3,1977087,751945,2015,1834

Streptomyces ramulosus,"['252', 'J42', 'J43', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Parafannyhessea umbonata,"['J14', 'J423', '339', '104', '693']",604330,Parafannyhessea umbonata,1,2353193,1528285,2128,2046

Agromyces marinus,['513'],1389020,Agromyces marinus,1,3202016,2288608,3025,2949

Micromonospora sediminis,"['J720', 'J118', '535', '554', '514', '65']",644283,Micromonospora aurantiaca ATCC 27029,1,7025559,5116162,6375,6249

Chitinophaga pinensis,"['830c', 'J22', '830', 'J26', 'J346', '1351', '92', 'J118', '67', '1662', 'J937', '535', '1722', '514']",485918,Chitinophaga pinensis DSM 2588,1,9127347,4128036,7180,7074

Deinococcus radiopugnans,"['J475', '92']",57497,Deinococcus radiopugnans,1,3531443,2380591,3384,3308

Mycolicibacterium mengxianglii,"['1', '81']",2736649,Mycolicibacterium mengxianglii,1,5962395,3952697,5719,5536

Streptomyces yanii,"['J50', '987', '84', '65', 'J58']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Mycoplasmopsis anatis,['1076b'],171279,Mycoplasmopsis anatis,1,956094,255403,840,793

Kribbella koreensis,"['J346', '830', 'J58']",479435,Kribbella flavida DSM 17836,1,7579488,5348686,7131,7033

Streptomyces lutosisoli,"['84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Microlunatus okinawensis,['830'],2596828,Microlunatus elymi,1,5121194,3423991,4724,4615

Parafrigoribacterium mesophilum,"['J346', '830']",104268,Tenacibaculum mesophilum,1,3344178,1063379,3064,2978

Pengzhenrongella sicca,['830'],2819238,Pengzhenrongella sicca,1,4395128,3183014,4021,3930

Pseudodesulfovibrio tunisiensis,"['195c', 'J680']",463192,Pseudodesulfovibrio tunisiensis,1,3609901,2144309,3406,3274

Thermotoga profunda,['1539'],1408160,Thermotoga profunda AZM34c06,1,2187612,848722,2163,2111

Caulobacter vibrioides,"['595', '830', '1462']",565050,Caulobacter vibrioides NA1000,1,4042929,2715702,4097,3886

Ensifer adhaerens,"['J74', '535b', '462', '1']",106592,Ensifer adhaerens,3,7267502,4529048,6941,6725

Paenibacillus soli,['830'],171404,Paenibacillus agaridevorans,1,9041977,4657555,7196,7009

Streptomyces fimbriatus,"['252', 'J66', 'J43', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Corynebacterium amycolatum,"['92', '535', 'J26', '693']",43765,Corynebacterium amycolatum,1,2476115,1451436,2184,2092

Nocardioides aromaticivorans,"['53', 'J443', 'J43', '92', 'J26', '65']",200618,Nocardioides aromaticivorans,1,5247736,3776050,5069,4995

Vescimonas coprocola,['634c'],2714355,Vescimonas coprocola,2,2557760,1488765,2494,2373

Allochromatium minutissimum,"['500', '544', '123', 'J118', '104', '28', '514', '693']",553982,Allochromatium tepidum,2,3384614,2183930,3293,3124

Pseudoalteromonas tunicata,['514'],314281,Pseudoalteromonas tunicata,2,4967522,1980856,4360,4182

Alistipes onderdonkii subsp. onderdonkii,"['J14', '78', '1203a', '429']",2585117,Alistipes onderdonkii subsp. vulgaris,1,3507492,2034443,2974,2885

Castellaniella defragrans,"['1315', '1', '1a']",1437824,Castellaniella defragrans 65Phen,1,3952818,2725139,3652,3522

Tolumonas auensis,"['500', '1', '830']",595494,Tolumonas auensis DSM 9187,1,3471292,1701871,3274,3137

Mannheimia granulomatis,"['215', '693']",85402,Mannheimia granulomatis,1,2325038,928992,2217,2091

Stackebrandtia soli,"['535', '65', '553']",446470,Stackebrandtia nassauensis DSM 44728,1,6841557,4661422,6516,6418

Singulisphaera acidiphila,['1144'],886293,Singulisphaera acidiphila DSM 18658,4,9755686,6071306,7327,7163

Pseudonocardia rhizophila,['65'],2792008,Pseudonocardia abyssalis,2,6305989,4630913,6195,6062

Granulosicoccus coccoides,['514'],1192854,Granulosicoccus antarcticus IMCC3135,1,7783862,4114590,6711,6609

Corynebacterium deserti,"['535a', '535']",931089,Corynebacterium deserti GIMN1.010,3,3033893,1676247,2858,2716

Lactiplantibacillus paraplantarum,['11'],60520,Lactiplantibacillus paraplantarum,2,3245144,1421632,3040,2931

Vespertiliibacter pulmonis,['429b'],1443036,Vespertiliibacter pulmonis,1,1831839,683719,1762,1677

Desulfobulbus propionicus,"['J22', 'J12', '92', 'J256', '514', 'J475', '795', '641', '1a', 'J27', '194', '1328', '53', 'J926', 'J118', '514a', 'J26', '693']",577650,Desulfobulbus propionicus DSM 2032,1,3851869,2269813,3437,3360

Allorhizobium ampelinum,['830'],311402,Allorhizobium ampelinum S4,7,6320946,3632695,5800,5564

Micromonospora vulcania,"['J61', '553', '535', '554', '65']",644283,Micromonospora aurantiaca ATCC 27029,1,7025559,5116162,6375,6249

Streptomyces lunaelactis,"['252', '84', '65']",1535768,Streptomyces lunaelactis,3,8570191,5978074,7821,7366

Enterococcus eurekensis,"['693', '92']",565655,Enterococcus casseliflavus EC20,1,3427276,1468534,3190,3092

Micromonospora harpali,"['J61', '554', '83', '65']",644283,Micromonospora aurantiaca ATCC 27029,1,7025559,5116162,6375,6249

Cetobacterium somerae,"['78', '693']",188913,Cetobacterium somerae,7,2973411,857191,2818,2691

Saccharothrix hoggarensis,['65'],1179773,Saccharothrix espanaensis DSM 44229,1,9360653,6757461,8504,8314

Anoxybacillus kaynarcensis,"['1', '220']",294699,Anoxybacillus amylolyticus,3,3158269,1377523,3345,3137

Macrococcus bohemicus,['92'],1903056,Macrococcoides bohemicum,2,2362417,806607,2476,2374

Carnobacterium antarcticum,['92'],2748,Carnobacterium divergens,1,2666320,933996,2540,2422

Geotalea daltonii,"['838', 'J756']",316067,Geotalea daltonii FRC-32,1,4304501,2301702,3853,3771

Mycobacterium paraterrae,"['645', 'J386']",577492,Mycobacterium paraterrae,1,5522624,3619840,5271,5124

Sneathia vaginalis,"['110', '693']",187101,Sneathia vaginalis,1,1330224,378209,1309,1254

Paenibacillus dongdonensis,['220'],171404,Paenibacillus agaridevorans,1,9041977,4657555,7196,7009

Saccharopolyspora thermophila,"['550', 'J49']",405948,Saccharopolyspora erythraea NRRL 2338,1,8212805,5843079,7311,7108

Lactobacillus crispatus,"['J84', '339', 'J22', 'J30', 'J12', 'J254', 'J236', 'J13', '104', '232', '58', 'J25']",47770,Lactobacillus crispatus,2,2039404,754651,2033,1877

Halostagnicola larsenii,"['1138', 'J168']",797299,Halostagnicola larsenii XH-48,5,4131176,2515796,4095,3947

Sphingopyxis alaskensis,['545'],317655,Sphingopyxis alaskensis RB2256,2,3373713,2208369,3315,3225

Brevundimonas subvibrioides,['595'],633149,Brevundimonas subvibrioides ATCC 15264,1,3445263,2357342,3384,3322

Labilithrix luteola,"['67', '1509', '9']",1391654,Labilithrix luteola,1,12191466,8063732,10616,10511

Methanosarcina flavescens,"['120', 'J1107']",1715806,Methanosarcina flavescens,1,3283688,1356348,2892,2784

Dietzia lutea,"['J26', '535']",546160,Dietzia lutea,4,3911842,2773448,3685,3531

Azotobacter armeniacus,"['90', '429b', '693', '462', 'J75', '1', '3', '441']",353,Azotobacter chroococcum,4,5023055,3322014,4762,4513

Corynebacterium riegelii,"['535a', '92', 'J26', '693']",156976,Corynebacterium riegelii,1,2563723,1550947,2447,2358

Bradyrhizobium subterraneum,['98'],1404768,Bradyrhizobium amphicarpaeae,1,7025930,4542514,6582,6499

Streptomyces sodiiphilus,"['252', 'J527', '535', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Prevotella herbatica,['104'],2801997,Prevotella herbatica,1,3524789,1321748,2726,2636

Paludibacterium yongneupense,['830c'],400061,Paludibacterium yongneupense,1,4413527,2743483,4142,4009

Agrococcus jejuensis,"['J475', '92']",399736,Agrococcus jejuensis,1,3400178,2469670,3289,3221

Tannerella forsythia,"['J278', '1203']",203275,Tannerella forsythia 92A2,1,3405521,1599776,2821,2687

Asaia bogorensis,"['J710', 'J709', '105', '360', 'J97']",1231624,Asaia bogorensis NBRC 16594,1,3198265,1912827,2825,2730

Pseudarthrobacter defluvii,['92'],410837,Pseudarthrobacter defluvii,4,4513380,2971915,4209,4101

Neisseria canis,"['215', '429']",493,Neisseria canis,1,2569389,1277877,2467,2340

Methylobacterium komagatae,['1'],2051553,Methylobacterium currus,5,7745135,5436065,7247,6909

Rheinheimera chironomi,"['514a', '514']",2498451,Rheinheimera mangrovi,1,4628354,2160299,4133,4017

Skermania piniformis,['680'],39122,Skermania piniformis,1,4230116,2902062,3923,3812

Aeromonas rivuli,['535'],648794,Aeromonas rivuli,1,4357928,2611609,4035,3843

Enterococcus lactis,"['693', '92']",357441,Enterococcus lactis,2,2728070,1046289,2676,2479

Evansella cellulosilytica,"['830c', '31', '585', '830', '1463', 'J346', 'J181', '535', '1', '514']",649639,Evansella cellulosilytica DSM 2522,1,4681672,1709838,4408,4260

Natronobacterium gregoryi,"['J167', '371']",797304,Natronobacterium gregoryi SP2,1,3788356,2357703,3756,3585

Methanohalophilus portucalensis,"['525', '525a', '348', '479']",39664,Methanohalophilus portucalensis,1,2084975,874349,2161,2083

Phenylobacterium zucineum,['535'],450851,Phenylobacterium zucineum HLK1,2,4379231,3113691,4340,4255

Halobacillus salsuginis,['514d'],2932259,Halobacillus amylolyticus,2,4299351,1749880,4358,4101

Arachidicoccus ginsenosidivorans,['J346'],496057,Arachidicoccus ginsenosidivorans,1,5773153,2369911,5004,4847

Metamycoplasma orale,['1076b'],2121,Metamycoplasma orale,5,806218,204181,734,670

Desulfosporosinus meridiei,['641'],768704,Desulfosporosinus meridiei DSM 13257,1,4873567,2036375,4579,4395

Pseudomonas antarctica,"['220', '220a']",219572,Pseudomonas antarctica,1,6377174,3795665,5870,5609

Amphibacillus tropicus,"['931', '220']",698758,Amphibacillus xylanus NBRC 15112,1,2569486,917776,2467,2339

Sulfurovum lithotrophicum,"['1011', 'J374']",206403,Sulfurovum lithotrophicum,1,2217891,981620,2244,2174

Methanomicrobium antiquum,['141'],487686,Methanomicrobium antiquum,1,2438126,918217,2379,2302

Nocardioides daecheongensis,['830'],2712223,Nocardioides anomalus,1,5120341,3753287,5154,5047

Kribbella flavida,"['J52', '830', 'J43']",479435,Kribbella flavida DSM 17836,1,7579488,5348686,7131,7033

Methylobacterium radiotolerans,"['J74', 'J22', '31', '830', 'J79', '125', 'J26', 'J346', '1184', 'J43', 'J181', 'J445', '1125', 'J168', '1', '514']",426355,Methylobacterium radiotolerans JCM 2831,9,6899110,4900810,6607,6439

Brevundimonas nasdae,"['545', 'J27', '1', '215']",172043,Brevundimonas nasdae,2,3824222,2510551,3752,3659

Streptomyces phaeoluteichromatogenes,"['84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Saccharopolyspora hattusasensis,"['554', '65']",405948,Saccharopolyspora erythraea NRRL 2338,1,8212805,5843079,7311,7108

Pseudarthrobacter oxydans,"['J22', '220', '53', '92', '457']",1671,Pseudarthrobacter oxydans,1,4440103,2919255,4047,3950

Aeromonas caviae,"['J22', '1a', 'J7', 'J12', '92', '1', '693']",648,Aeromonas caviae,2,4565788,2810336,4250,4026

Pantoea ananatis,"['J22', 'J27', 'J75', '535', '1']",1095774,Pantoea ananatis PA13,2,4867131,2607587,4600,4420

Belliella baltica,['514a'],866536,Belliella baltica DSM 15883,1,4196595,1544898,3809,3713

Mycobacterium florentinum,"['645', 'J386', '354']",292462,Mycobacterium florentinum,1,6219859,4128530,5906,5723

Sporosarcina siberiensis,['220'],1474,Sporosarcina pasteurii,1,3253966,1274502,3175,3038

Natronomonas pharaonis,"['65', 'J166', '830', 'J26', '104b', '535', '205', '514', '371']",348780,Natronomonas pharaonis DSM 2160,3,2749696,1735599,2885,2803

Actinobacillus anseriformium,['693'],157339,Actinobacillus arthritidis,1,2266746,894775,2181,1688

Lancefieldella parvula,"['J14', 'J74', 'J84', 'J346', 'J622', '104']",521095,Lancefieldella parvula DSM 20469,1,1543805,705312,1408,1353

Blastomonas fulva,"['J346', '830']",1550728,Blastomonas fulva,2,4123210,2645682,3914,3829

Afipia lausannensis,['1052'],290,[Pseudomonas] carboxydohydrogena,1,3271440,2042929,3161,3091

Actinomadura yumaensis,"['830', '1274', '553', 'J43', '535', '215', '548', 'J58']",2750812,Actinomadura graeca,3,8979594,6498697,7926,7757

Enterococcus mundtii,"['J156', '693', '92']",53346,Enterococcus mundtii,2,3504528,1338213,3267,3117

Streptomyces mangrovi,"['514', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Sporomusa intestinalis,"['J480', '311c']",1123288,Sporomusa ovata DSM 2662,1,5433971,2357720,5315,5112

Actinomadura fulvescens,"['J81', 'J43', '553', '554', '65']",2750812,Actinomadura graeca,3,8979594,6498697,7926,7757

Staphylothermus marinus,"['377', 'J151']",399550,Staphylothermus marinus F1,1,1570485,561080,1691,1636

Dickeya dadantii,"['535b', '1', '535']",198628,Dickeya dadantii 3937,1,4922802,2771357,4429,4242

Colwellia psychrerythraea,['514'],167879,Colwellia psychrerythraea 34H,1,5373180,2042100,4577,4418

Ferriphaselus amnicola,"['1267', 'J628']",1188319,Ferriphaselus amnicola,1,2717229,1518894,2702,2624

Desulfosudis oleivorans,"['J1258', '190', '517', '310', '191']",96561,Desulfosudis oleivorans Hxd3,1,3944167,2215384,3376,3316

Mycoplasmopsis californica,['1076b'],2113,Mycoplasmopsis californica,1,805917,247886,677,633

Streptococcus ruminantium,"['J27', '693', '92']",1917441,Streptococcus ruminantium,1,2081190,833950,1988,1881

Streptomyces thermospinosisporus,"['252', '214', '84', '65', 'J58']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Salinicoccus halodurans,['372'],407035,Salinicoccus halodurans,1,2778379,1237616,2868,2751

Taylorella equigenitalis,['429'],29575,Taylorella equigenitalis,1,1704267,637743,1588,1528

Peptoniphilus harei,"['1560', '92', '11', 'J256', '58', '514', 'J346', '553', '98', '714', '104', '1', 'J43', '535', 'J13', '65', 'J26', '693']",54005,Peptoniphilus harei,1,1929566,653295,1831,1747

Tsukamurella serpentis,"['J28', '535a']",521096,Tsukamurella paurometabola DSM 20162,2,4479724,3064083,4362,4230

Streptococcus pseudoporcinus,"['693', '92']",361101,Streptococcus pseudoporcinus,1,2156061,800485,2093,1940

Faecalibaculum rodentium,"['339', 'J676', '104']",1702221,Faecalibaculum rodentium,1,2542486,1372059,2446,2337

Jatrophihabitans soli,"['830', '553', '535', '65']",2038343,Jatrophihabitans telluris,1,4193897,2857062,3864,3791

Streptomyces nanhaiensis,"['J50', '252', 'J66', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Weissella confusa,"['J84', 'J13', '11']",1583,Weissella confusa,2,2216758,998851,2104,1976

Streptococcus dentiloxodontae,"['J28', '693', '92']",1311,Streptococcus agalactiae,2,2079123,742893,2078,1873

Campylobacter canadensis,['693'],449520,Campylobacter canadensis,1,1923009,525995,1891,1804

Moritella japonica,"['J118', '514']",1202962,Moritella marina ATCC 15381,2,4760425,1937250,4294,4070

Micromonospora echinaurantiaca,"['J61', '554', '65']",47857,Micromonospora echinaurantiaca,1,7203233,5272801,6678,6465

Thermoanaerobacterium thermosaccharolyticum,"['501', '624', '90', '61', '372', '129', '92', '186', '211', '86', '640', '381', '1']",698948,Thermoanaerobacterium thermosaccharolyticum M0795,2,2894276,975752,2898,2790

Thiodictyon elegans,"['1236', 'J84', 'J173', '545', '1539', '27', '1015', '11', '92', '104b', '514c', '1033', '381', '28', '514', 'J818', 'J475', '31', 'J374', '830', '1454', '403', '514b', '63', '105', '1375', '104', '641', '1', 'J972', '586', '1047', 'J896', 'J718', '908', '1372', '1a', 'J853', 'J43', 'J597', '1011', '360', '535', '1143', '380', '65', '428', '830c', 'J14', '110', '220', '776', '535b', '111', 'J118', 'J26', '310', '693']",1166950,Candidatus Thiodictyon syntrophicum,3,7738984,5124386,6701,6513

Thermococcus fumicolans,"['J241', '760', 'J280']",2598455,Thermococcus aciditolerans,1,2165038,1190239,2413,2333

Pseudomonas agarici,"['J22', '1']",46677,Pseudomonas agarici,1,5502003,3239955,4934,4745

Actinoalloteichus hoggarensis,['65'],1470176,Actinoalloteichus hoggarensis,1,6606717,4700500,5433,5307

Muribaculum intestinale,"['J14', 'J1130', '78', '693']",1796646,Muribaculum intestinale,1,3306457,1657246,2737,2627

Spiroplasma tabanidicola,['1076b'],324079,Spiroplasma tabanidicola,1,1284335,322357,1172,1133

Streptomyces panacagri,"['830', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Desulfurispirillum indicum,['1294'],653733,Desulfurispirillum indicum S5,1,2928377,1643075,2644,2582

Staphylococcus nepalensis,['92'],214473,Staphylococcus nepalensis,3,3007747,994463,2912,2779

Micromonospora chokoriensis,"['65', 'J61', 'J104', '548']",356851,Micromonospora chokoriensis,1,6897819,4928934,6261,6096

Tessaracoccus lubricantis,"['J28', '92']",1332264,Tessaracoccus aquimaris,1,3934699,2706456,3708,3522

Histophilus somni,['693'],228400,Histophilus somni 2336,1,2263857,846186,2129,2010

Stetteria hydrogenophila,"['J244', '795']",297,Hydrogenophilus thermoluteolus,2,2288780,1410666,2231,2148

Indioceanicola profundi,['514d'],2220096,Indioceanicola profundi,4,5374982,3560684,4990,4810

Kitasatospora cinereorecta,"['252', 'J66', 'J42', '84', '65']",1894,Kitasatospora aureofaciens,2,7076402,5135317,6290,6025

Dactylosporangium thailandense,"['J62', 'J104', '84', '65']",35754,Dactylosporangium aurantiacum,1,11523879,8432897,10317,10071

Burkholderia multivorans,"['1', '693', '92']",87883,Burkholderia multivorans,3,6322859,4251619,5765,5599

Ktedonosporobacter rubrisoli,['65'],2509675,Ktedonosporobacter rubrisoli,1,11340617,5869311,9770,9636

Micrococcus yunnanensis,"['J475', '92']",566027,Micrococcus yunnanensis,1,2470932,1803868,2249,2155

Clostridium geopurificans,['104c'],84022,Clostridium aceticum,2,4207037,1484407,3986,3841

Vibrio furnissii,"['J22', 'J148', 'J7', 'J30', 'J12', '92', 'J118', 'J448', '514', '693']",29494,Vibrio furnissii,3,4993326,2526541,4649,4463

Deinococcus oregonensis,"['J346', '1484']",1768108,Deinococcus actinosclerus,1,3264334,2304592,3298,3202

Clostridium saccharobutylicum,"['104b', '411']",1345695,Clostridium saccharobutylicum DSM 13864,1,5107814,1464021,4538,4320

Pseudothermotoga thermarum,['498'],688269,Pseudothermotoga thermarum DSM 5069,1,2039943,822588,2070,1997

Thalassoglobus polymorphus,['1560'],2527994,Thalassoglobus polymorphus,1,6357355,3196806,4647,4591

Streptococcus ratti,['92'],1341,Streptococcus ratti,1,2096943,857725,2072,1923

Thermoanaerobacter mathranii subsp. mathranii,"['640', '92']",583358,Thermoanaerobacter mathranii subsp. mathranii str. A3,1,2306092,791454,2331,2196

Tatumella punctata,"['1a', 'J12']",53336,Tatumella citrea,2,4490981,2232226,4186,4015

Porphyromonas asaccharolytica,"['J14', 'J84', 'J469', '78', '693']",879243,Porphyromonas asaccharolytica DSM 20707,1,2186370,1147150,1715,1644

Tessaracoccus profundi,"['514', '830']",1332264,Tessaracoccus aquimaris,1,3934699,2706456,3708,3522

Novosphingobium rhizosphaerae,['535'],279238,Novosphingobium aromaticivorans DSM 12444,3,4233314,2756420,4086,3997

Sulfolobus acidocaldarius,"['1a', '88', 'J70', '220a', '461', 'J165', '457', 'J256', '1']",2285,Sulfolobus acidocaldarius,1,2225849,817066,2372,2293

Planococcus maritimus,"['J118', '514']",192421,Planococcus maritimus,1,3280721,1547614,3269,3148

Macrococcus brunensis,['92'],198483,Macrococcus brunensis,2,2123615,889178,2270,2165

Streptomyces prasinus,"['J66', '987', '84', '65', 'J58']",67345,Streptomyces prasinus,1,7647592,5508188,6680,6363

Microbacterium aurum,"['J26', '92']",36805,Microbacterium aurum,1,3424892,2393947,3360,3221

Symbiobacterium thermophilum,"['1293', 'J653']",292459,Symbiobacterium thermophilum IAM 14863,1,3566135,2448808,3384,3233

Streptococcus gordonii,"['J70', 'J27', '92', '693']",1302,Streptococcus gordonii,1,2185555,886360,2111,1995

Methanothermobacter marburgensis,"['119', '220', '830', '141c', '1166', '514d', '514c', 'J231', '464', '514']",79929,Methanothermobacter marburgensis str. Marburg,2,1639135,797286,1784,1721

Methylomarinovum caldicuralii,"['1412', 'J524']",438856,Methylomarinovum caldicuralii,1,2694844,1739793,2726,2626

Corynebacterium crudilactis,['535a'],1652495,Corynebacterium crudilactis,3,3217288,1664882,2965,2849

Virgibacillus olivae,"['J118', '514']",302167,Virgibacillus dokdonensis,1,4263520,1559797,3963,3811

Blautia hansenii,"['J676', '104']",537007,Blautia hansenii DSM 20583,1,3065949,1197015,3071,2933

Streptomyces amphotericinicus,"['84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Salisediminibacterium selenitireducens,['968'],439292,[Bacillus] selenitireducens MLS10,1,3592487,1748462,3396,3255

Lederbergia lenta,"['J84', '490', '900', 'J12', '92', '652', '921', '514', '298a', '31', '88', '740', 'J26', 'J1270', '63', '186', 'J75', 'J826', '644', '104', '762', '681', '712', '670', '605a', '665', 'J27', 'J280', '688', '462a', '9', '163', 'J225', '110', '673', '204', '621', '949', 'J161', '672', '595', '11', '219', '823', '653', '683', '1203', '692', '393', 'J256', '677', 'J710', '671', '830', '1190', '1153', '710', '105', '678', '763', '1', 'J358', '1a', '119', '696', '760', '742', '948', 'J78', '457', '78', '149', '666', 'J48', 'J14', '115a', 'J825', 'J118', '685', '739', '520', '748', '878', '54b', '90', '429b', '545', '27', 'J66', '663', '1434', '464', '381', '364', 'J197', 'J709', '752', 'J346', '514b', '747', '668', '195c', '1203a', '674', 'J44', '370', '413', '500', '699', '360', '65', '428', '701', '675', '720', '86', '664', '693', 'J58', 'J22', '463a', '7', '195a', 'J30', '189', '220a', '514f', '669', 'J42', '838', '191', '198', 'J50', '516', '129', '732', '628', '383', '243', '215', '465f', '627', '87a', '120', '357', 'J28', '654', '190', '461', '655', '535', 'J127', 'J13', '6', '220', '504', '465d', 'J233', '784', '14', '605']",1467,Lederbergia lenta,1,4384366,1608887,4177,4023

Trueperella pyogenes,"['693', '104']",1661,Trueperella pyogenes,1,2338390,1391374,2127,2057

Iodobacter limnosediminis,['830'],2496266,Iodobacter ciconiae,1,3877377,1862758,3444,3269

Paenibacillus sputi,['220'],171404,Paenibacillus agaridevorans,1,9041977,4657555,7196,7009

Mesotoga infera,"['1328', 'J926']",1236046,Mesotoga infera,1,2965660,1433401,2718,2656

Hydrogenophaga pseudoflava,"['J22', '1560', '90', '986', '1669', '92', '11', '133', 'J256', '381', '58', '1159', '514', '1426', '104c', '830', 'J26', '1429', 'J58', 'J346', '129', '98', '11b', '104', '641', '1203a', '81', '1', '215', 'J676', '339', '252', '760', 'J280', '194', '1527', '535', '78', '212a', '65', '1029', 'J14', '830c', 'J1156', '110', '673', '717', 'J161', 'J1155', '554', '1611', '465g', '1052', '693']",47421,Hydrogenophaga pseudoflava,2,4905973,3290048,4738,4633

Streptomyces plumbiresistens,"['J50', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Corynebacterium urogenitale,"['693', '92']",2487892,Corynebacterium urogenitale,1,2351892,1409914,2089,1998

Mycobacterium basiliense,['645'],2094119,Mycobacterium basiliense,1,5607630,3646274,4807,4603

Vallitalea pronyensis,"['J938', '311b']",1348613,Vallitalea pronyensis,2,6325483,2299400,5297,5199

Pseudodesulfovibrio sediminis,['195c'],2810563,Pseudodesulfovibrio sediminis,1,3764150,2033487,3558,3472

Yersinia rohdei,"['535', 'J12']",29485,Yersinia rohdei,1,4372253,2056295,3896,3728

Lelliottia amnigena,"['555', 'J22', '1a', 'J12', '92', 'J43', '535', '554', '1', '65', '693']",61646,Lelliottia amnigena,2,4599109,2427020,4404,4232

Corynebacterium casei,"['J28', '535', '693']",1285583,Corynebacterium casei LMG S-19264,3,3132213,1744156,2877,2737

