,name,cultures,taxid,sci_name,chromosome_numbers,genome_size,genome_gc_content,gene_counts,protein_coding_genes
2601,Streptomonospora amylolytica,"['1065', '1159', '514', '1240']",2498135,Streptomonospora litoralis,2,5814190,4193912,5072,4931
2602,Aeromonas jandaei,"['J70', '92', 'J256', '693']",650,Aeromonas jandaei,1,4551079,2686667,4261,4077
2603,Caldicellulosiruptor kronotskyensis,['671'],632348,Caldicellulosiruptor kronotskyensis 2002,1,2843785,998051,2634,2507
2604,Leuconostoc mesenteroides,"['693', '92']",1245,Leuconostoc mesenteroides,3,2058732,775963,2082,1981
2605,Xenorhabdus nematophila,['535b'],628,Xenorhabdus nematophila,1,4275642,1874464,3908,3502
2606,Staphylococcus delphini,"['693', '92']",53344,Staphylococcus delphini,1,2616750,1003805,2497,2391
2607,Exiguobacterium profundum,['514'],307643,Exiguobacterium profundum,2,2884728,1389003,3006,2877
2608,Acidiferrobacter thiooxydans,"['830', '670', 'J861', 'J41', 'J377', 'J846', '11', '360', '381', '514', '1378']",163359,Acidiferrobacter thiooxydans,1,3302271,2100524,3082,2986
2609,Selenomonas dianae,"['J14', '110', '693']",135079,Selenomonas dianae,1,2391311,1349166,2318,2207
2610,Halothiobacillus neapolitanus,"['J25', '545', 'J90', '525a', 'J30', '63', '186', '520', '68', '1']",555778,Halothiobacillus neapolitanus c2,1,2582886,1413191,2415,2331
2611,Dokdonella ginsengisoli,['830'],1300342,Dokdonella koreensis DS-123,1,4446619,3128051,3649,3562
2612,Pseudoalteromonas rubra,['514'],43658,Pseudoalteromonas rubra,2,6143755,2937206,5274,4958
2613,Virgibacillus carmonensis,"['J118', '514']",302167,Virgibacillus dokdonensis,1,4263520,1559797,3963,3811
2614,Schaalia funkei,"['1203', '693']",888050,Schaalia cardiffensis F0333,1,2230588,1370546,1835,1745
2615,Acetivibrio clariflavus,['520'],720554,Acetivibrio clariflavus DSM 19732,1,4897678,1749312,4222,4047
2616,Actinomyces radicidentis,"['693', '92']",111015,Actinomyces radicidentis,1,3051613,2214902,2614,2486
2617,Arcobacter defluvii,"['J256', '693']",873191,Arcobacter defluvii,1,3021240,799510,3029,2944
2618,Salinicoccus sesuvii,"['J118', '514']",407035,Salinicoccus halodurans,1,2778379,1237616,2868,2751
2619,Neisseria zoodegmatis,['693'],326523,Neisseria zoodegmatis,1,2552522,1300335,2421,2299
2620,Vulcanithermus mediatlanticus,"['977', 'J366']",391592,Caminibacter mediatlanticus TB-2,1,1685887,452725,1815,1747
2621,Desulfotalea arctica,['861'],177439,Desulfotalea psychrophila LSv54,3,3659634,1706546,3246,3115
2622,Mycobacterium grossiae,"['250', '645']",1552759,Mycolicibacterium grossiae,2,5681602,4002689,5465,5354
2623,Actinomadura gamaensis,"['65', 'J43']",2750812,Actinomadura graeca,3,8979594,6498697,7926,7757
2624,Nocardia roseoalba,"['535', '65', 'J43']",1824,Nocardia asteroides,1,6983363,4879682,6476,6344
2625,Pantoea eucalypti,['1'],470933,Pantoea eucalypti,4,4798990,2599083,4504,4309
2626,Corynebacterium lactis,"['535a', 'J28', 'J256', 'J26']",1408189,Corynebacterium lactis RW2-5,1,2769745,1676521,2498,2408
2627,Dactylosporangium fulvum,"['J42', '554', '65', 'J58']",53359,Dactylosporangium fulvum,1,10494953,7454528,9652,9440
2628,Streptomyces sannurensis,"['1081', '535', '215']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2629,Bartonella quintana,['429e'],803,Bartonella quintana,1,1588683,615730,1346,1189
2630,Massilia niabensis,['830'],2765360,Massilia antarctica,1,7432405,4740518,6517,6314
2631,Serratia quinivorans,"['535a', '1a', '1703', '553', 'J256', '1159', '1241']",137545,Serratia quinivorans,1,5376744,2960353,5045,4872
2632,Nitrosomonas communis,['1583'],44574,Nitrosomonas communis,1,4067838,1819617,3871,3693
2633,Thermoanaerobacterium islandicum,['104b'],47490,Thermoanaerobacterium aotearoense,1,2668690,943968,2684,2592
2634,Metabacillus herbersteinensis,['514'],2874282,Metabacillus dongyingensis,2,5416110,2156992,5326,5104
2635,Streptomyces globosus,"['J61', 'J66', 'J42', '84', '65']",68209,Streptomyces globosus,3,7535750,5549918,6664,6446
2636,Lacticaseibacillus manihotivorans,['11'],88233,Lacticaseibacillus manihotivorans,2,3458698,1654546,3448,3257
2637,Actinomadura alkaliterrae,"['554', '553']",2750812,Actinomadura graeca,3,8979594,6498697,7926,7757
2638,Tessaracoccus flavescens,"['J28', '92']",399497,Tessaracoccus flavescens,2,3650768,2491269,3599,3453
2639,Iodobacter arcticus,['535'],2496266,Iodobacter ciconiae,1,3877377,1862758,3444,3269
2640,Lentibacillus lacisalsi,['514'],1472767,Lentibacillus amyloliquefaciens,1,3858284,1625108,3933,3752
2641,Clostridium subterminale,"['J14', '110', 'J13', '104', '78', '1203a', '693']",84022,Clostridium aceticum,2,4207037,1484407,3986,3841
2642,Halobacillus shinanisalinarum,['514'],2932258,Halobacillus shinanisalinarum,1,4887025,1990396,4892,4563
2643,Streptomyces griseofuscus,"['J42', '987', '65']",146922,Streptomyces griseofuscus,4,9116672,6530433,8257,7903
2644,Brevibacterium linens,"['J475', 'J14', 'J22', '53', '92', 'J510', 'J26']",1703,Brevibacterium linens,2,3814300,2470814,3453,3326
2645,Aquiflexum balticum,['514a'],758820,Aquiflexum balticum DSM 16537,1,5987195,2358229,4998,4913
2646,Vibrio ruber,"['514f', 'J118', 'J75', '514c', '514']",184755,Vibrio ruber,2,4687428,2148262,4062,3896
2647,Kingella oralis,['693'],505,Kingella oralis,2,2420532,1314414,2639,2539
2648,Paenibacillus hodogayensis,"['J75', '220']",171404,Paenibacillus agaridevorans,1,9041977,4657555,7196,7009
2649,Nitrosomonas europaea,['1583'],228410,Nitrosomonas europaea ATCC 19718,1,2812094,1426243,2667,2550
2650,Rubrobacter spartanus,['1606'],2051957,Rubrobacter indicoceani,3,3078689,1963070,3081,3016
2651,Celerinatantimonas yamalensis,['514b'],412034,Celerinatantimonas diazotrophica,1,4005136,1750442,3680,3502
2652,Caulobacter henricii,"['595', '830']",69395,Caulobacter henricii,2,3957288,2603436,3792,3681
2653,Clostridium pasteurianum,"['54b', 'J14', '90', '481', '403', 'J160', '760', '480', 'J280', '480b', '9', 'J13', '467', '28', '480d']",1501,Clostridium pasteurianum,1,4351863,1302749,4115,3936
2654,Loigolactobacillus bifermentans,"['J84', 'J13', '11']",1607,Loigolactobacillus bifermentans,3,3274863,1449705,3236,3108
2655,Aceticella autotrophica,['119'],2755338,Aceticella autotrophica,1,2267618,748476,2254,2154
2656,Hyphomicrobium denitrificans,"['1091', '830', '1494', 'J574', '1245', '514a', '166', '514']",582899,Hyphomicrobium denitrificans ATCC 51888,1,3638969,2212945,3531,3468
2657,Glutamicibacter protophormiae,"['53', 'J22', 'J26']",37930,Glutamicibacter protophormiae,3,3933924,2515171,3687,3554
2658,Agarivorans aestuarii,['514'],1563703,Agarivorans aestuarii,1,4687452,2082304,4342,4203
2659,Salinispora tropica,"['1009', '514', 'J720']",369723,Salinispora tropica CNB-440,1,5183331,3600394,4764,4534
2660,Archaeoglobus infectus,['1098'],1344584,Archaeoglobus fulgidus DSM 8774,1,2316287,1113590,2685,2610
2661,Streptomyces tunisialbus,"['84', '65', 'J43']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2662,Corynebacterium aquilae,"['J28', '535', '693']",1431546,Corynebacterium aquilae DSM 44791,1,2926437,1782698,2475,2393
2663,Tonsilliphilus suis,"['J14', 'J740', '104', '693']",568814,Streptococcus suis BM407,2,2170808,890299,2136,1997
2664,Sporomusa ovata,"['220', '830', '693', '92', '1468', '311', '514', '1464']",1123288,Sporomusa ovata DSM 2662,1,5433971,2357720,5315,5112
2665,Nitrososphaera viennensis,"['J1004', '1630c', '1630']",926571,Nitrososphaera viennensis EN76,1,2527938,1332614,2993,2935
2666,Streptomyces abietis,"['84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2667,Bacteroides nordii,"['J14', '1203a', '693']",291645,Bacteroides nordii,1,5678582,2308212,4355,4199
2668,Campylobacter ureolyticus,"['413', '693']",827,Campylobacter ureolyticus,1,1820334,527719,1843,1768
2669,Enterococcus wangshanyuanii,['693'],2005703,Enterococcus wangshanyuanii,5,4155954,1548966,4214,4104
2670,Nanobdella aerobiophila,['88'],2586965,Nanobdella aerobiophila,1,668961,164812,765,719
2671,Spirosoma pollinicola,['830'],2057025,Spirosoma pollinicola,1,8794837,4207958,7618,7456
2672,Acinetobacter haemolyticus,"['693', '92']",29430,Acinetobacter haemolyticus,1,3441166,1364677,3189,3061
2673,Shewanella denitrificans,['514a'],318161,Shewanella denitrificans OS217,1,4545906,2052439,3966,3786
2674,Aminobacterium thunnarium,"['846a', 'J989']",572547,Aminobacterium colombiense DSM 12261,1,1980592,897344,1962,1895
2675,Granulibacter bethesdensis,['1186'],364410,Granulibacter bethesdensis,1,2708311,1591298,2439,2364
2676,Vibrio rumoiensis,['514'],76258,Vibrio rumoiensis,4,4207152,1779842,3844,3623
2677,Nocardia zhihengii,"['830', '65']",1824,Nocardia asteroides,1,6983363,4879682,6476,6344
2678,Geoalkalibacter subterraneus,"['J683', '1249']",483547,Geoalkalibacter subterraneus,2,3717645,2107089,3614,3513
2679,Achromobacter ruhlandii,"['J14', '533', '81', 'J12', '220a', '457', 'J13', '58', '1', 'J154', '311c']",72557,Achromobacter ruhlandii,1,6366684,4296625,5859,5710
2680,Streptomyces thermoalcalitolerans,"['J104', '547', '84', '65', 'J58']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2681,Vibrio taketomensis,"['J118', '514f']",2572923,Vibrio taketomensis,3,4360007,1931294,4104,3646
2682,Pediococcus claussenii,"['J111', '11']",187452,Pediococcus claussenii,3,1950035,722884,1949,1849
2683,Luteibacter rhizovicinus,['1'],1440763,Luteibacter rhizovicinus DSM 16549,1,4765486,3084309,4380,4297
2684,Streptomyces hypolithicus,"['84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2685,Streptomyces xiangluensis,"['84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2686,Sphingobacterium psychroaquaticum,['830'],561061,Sphingobacterium psychroaquaticum,1,4396536,1831575,3621,3532
2687,Xanthomonas arboricola,"['1210a', '11', '92', '514c', '381', '58', '54', '514', '104c', '830', 'J346', '98', '104', '1203a', '1', '215', '753', 'J606', '339', '1a', '252', 'J28', 'J27', '948', '123', '535', 'J13', '78', '65', 'J14', '830c', '535a', '220', '54a', 'J26', '693']",195709,Xanthomonas arboricola pv. juglandis,1,4997863,3282911,4314,4175
2688,Methanococcus aeolicus,['141'],419665,Methanococcus aeolicus Nankai-3,1,1569500,471438,1572,1514
2689,Pseudomonas mucidolens,"['830a', 'J12']",46679,Pseudomonas mucidolens,1,5853167,3458394,5429,5126
2690,Peribacillus gossypii,['220'],421767,Peribacillus butanolivorans,1,5568346,2128611,5423,5137
2691,Bifidobacterium scardovii,"['J14', '58', 'J13']",1150461,Bifidobacterium scardovii JCM 12489 = DSM 13734,1,3158347,2041269,2599,2485
2692,Cupriavidus pinatubonensis,['1a'],248026,Cupriavidus pinatubonensis,4,7548664,4853003,7042,6808
2693,Kosakonia sacchari,['1'],1158459,Kosakonia sacchari,1,4902106,2634265,4683,4521
2694,Streptomyces gobitricini,"['252', 'J42', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2695,Helicobacter suis,['1279'],104628,Helicobacter suis,3,1682860,674981,1766,1656
2696,Rhodococcus koreensis,"['535', 'J43']",99653,Rhodococcus koreensis,5,10909875,7328916,10068,9604
2697,Aureliella helgolandensis,['1560'],2527968,Aureliella helgolandensis,1,8439957,4665506,6020,5902
2698,Dictyoglomus turgidum,['516'],515635,Dictyoglomus turgidum DSM 6724,1,1855560,630099,1877,1812
2699,Staphylococcus hyicus,"['693', '92']",1284,Staphylococcus hyicus,1,2472129,879532,2391,2296
2700,Streptomyces coeruleofuscus,"['J50', 'J42', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2701,Ezakiella massiliensis,['110'],1852374,Ezakiella massiliensis,1,1741785,639071,1653,1574
2702,Algoriphagus trabzonensis,['514'],388413,Algoriphagus machipongonensis,1,4787724,1852171,4028,3965
2703,Streptococcus urinalis,['693'],149016,Streptococcus urinalis,1,2144000,734919,2235,2021
2704,Vibrio natriegens,"['115', '514', '246']",1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,2,5175153,2333322,4686,4496
2705,Streptomyces malachitospinus,"['252', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2706,Kocuria himachalensis,"['J28', 'J26', '535']",446860,Kocuria flava,5,3638342,2689747,3305,3194
2707,Leptotrichia trevisanii,"['78', '693']",109328,Leptotrichia trevisanii,3,2870544,878367,2635,2536
2708,Lactobacillus kullabergensis,['11'],1218493,Lactobacillus kullabergensis,1,2018944,722626,1898,1804
2709,Barrientosiimonas marina,"['J118', '514']",1535208,Barrientosiimonas endolithica,1,3684144,2667551,3729,3197
2710,Methanobacterium movens,"['J198', '119', 'J702']",2731220,Methanobacterium alkalithermotolerans,1,2187077,795050,2195,2140
2711,Streptomyces rosealbus,"['84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2712,Methanothermus sociabilis,"['J251', '203']",523846,Methanothermus fervidus DSM 2088,1,1243342,393356,1371,1306
2713,Butyrivibrio hungatei,"['110', 'J118', '67', '9', '704', '1614', '514', '330']",185008,Butyrivibrio hungatei,4,3386314,1344683,3091,3017
2714,Corynebacterium auris,"['535a', '535', 'J26']",44750,Corynebacterium auris,1,2439611,1634122,2306,2200
2715,Granulicella acidiphila,['1285'],682795,Granulicella mallensis MP5ACTX8,1,6237577,3612173,4811,4744
2716,Chryseobacterium gambrini,['545'],373672,Chryseobacterium gambrini,1,4510621,1624538,4158,4026
2717,Ruminococcus albus,"['J675', '436']",697329,Ruminococcus albus 7 = DSM 20455,5,4482087,1954876,4130,4001
2718,Pseudoalteromonas maricaloris,['514'],184924,Pseudoalteromonas maricaloris,2,5645692,2437751,4934,4751
2719,Pseudoalteromonas prydzensis,['514'],1315282,Pseudoalteromonas prydzensis ACAM 620,2,5205557,2145546,4653,4458
2720,Pseudomonas trivialis,"['1a', '220a']",200450,Pseudomonas trivialis,1,5634667,3433841,5098,4917
2721,Pseudomonas rhizosphaerae,['1'],216142,Pseudomonas rhizosphaerae,1,4688635,2906684,4226,4094
2722,Symbiobacterium ostreiconchae,"['1293', 'J653']",292459,Symbiobacterium thermophilum IAM 14863,1,3566135,2448808,3384,3233
2723,Staphylococcus lloydii,['92'],2781774,Staphylococcus lloydii,1,2569383,857811,2573,2473
2724,Enterobacter mori,"['J22', '1', '535', 'J443']",539813,Enterobacter mori,2,4844012,2690747,4597,4430
2725,Deinococcus antarcticus,['830'],1768108,Deinococcus actinosclerus,1,3264334,2304592,3298,3202
2726,Phaeobacter porticola,['514'],1844006,Phaeobacter porticola,6,4207221,2464779,4019,3893
2727,Microbulbifer hydrolyticus,['514'],48074,Microbulbifer hydrolyticus,1,4209307,2424574,3565,3474
2728,Borrelia maritima,['403'],2761123,Borrelia maritima,8,1109596,309105,1078,990
2729,Methanobacterium congolense,['119'],118062,Methanobacterium congolense,2,2469575,950534,2398,2335
2730,Vibrio gallicus,['514'],190897,Vibrio gallicus,2,3518157,1540772,3226,3066
2731,Paenibacillus xylanisolvens,['220'],171404,Paenibacillus agaridevorans,1,9041977,4657555,7196,7009
2732,Mucilaginibacter paludis,['830'],714943,Mucilaginibacter paludis DSM 18603,1,8408322,3603400,7075,6970
2733,Pyrobaculum igneiluti,['390'],178306,Pyrobaculum aerophilum str. IM2,1,2222430,1141496,2637,2562
2734,Desulfovibrio simplex,"['J389', '252', '63', '65']",1725232,Candidatus Desulfovibrio trichonymphae,1,1410056,772968,1377,1273
2735,Frankia casuarinae,"['1536', '737']",106370,Frankia casuarinae,1,5433628,3807822,4724,4523
2736,Micromonospora viridifaciens,"['J47', '554', '65']",1881,Micromonospora viridifaciens,1,7073985,5099932,6488,6262
2737,Azotobacter nigricans,"['90', '220', '441', '3', '693']",353,Azotobacter chroococcum,4,5023055,3322014,4762,4513
2738,Ottowia pentelensis,['535'],2109914,Ottowia oryzae,1,3901011,2605771,3602,3491
2739,Staphylothermus hellenicus,"['J244', '795']",591019,Staphylothermus hellenicus DSM 12710,1,1580347,582173,1693,1633
2740,Chryseobacterium indoltheticum,['92'],254,Chryseobacterium indoltheticum,1,4253895,1458089,3936,3821
2741,Methanosarcina subterranea,"['J1110', '120b']",188937,Methanosarcina acetivorans C2A,1,5751492,2454788,4910,4685
2742,Paenibacillus rhizoryzae,['830'],171404,Paenibacillus agaridevorans,1,9041977,4657555,7196,7009
2743,Natranaerobius sp.,['1095'],457570,Natranaerobius thermophilus JW/NM-WN-LF,3,3191453,1158783,3022,2935
2744,Iodobacter ciconiae,"['J27', '535', '830']",2496266,Iodobacter ciconiae,1,3877377,1862758,3444,3269
2745,Gordonia sihwensis,"['535', 'J43']",173559,Gordonia sihwensis,2,4358365,2965203,4136,4013
2746,Limnochorda pilosa,['195'],1555112,Limnochorda pilosa,1,3817036,2661659,3529,3443
2747,Escherichia albertii,"['J27', '92', '535', '693']",208962,Escherichia albertii,2,4631903,2301271,4490,4269
2748,Methanosphaera stadtmanae,"['830', '220', 'J355', '92', '104', '322']",2317,Methanosphaera stadtmanae,1,1767403,488399,1602,1543
2749,Alkalicoccus halolimnae,"['J1046', '514']",1667239,Alkalicoccus halolimnae,1,3694897,1657725,3352,3233
2750,Methanofollis aquaemaris,['924a'],126734,Methanofollis aquaemaris,1,2746416,1635388,2595,2533
2751,Francisella orientalis,['429c'],1356861,Francisella orientalis LADL 07-285A,1,1858987,600425,2067,1792
2752,Cupriavidus pauculus,"['J22', 'J27', '220']",82633,Cupriavidus pauculus,4,6174043,3958078,5604,5468
2753,Clostridium quinii,['500'],84022,Clostridium aceticum,2,4207037,1484407,3986,3841
2754,Vibrio hispanicus,"['535b', '220a']",92172,Vibrio aerogenes,3,5368019,2454604,4713,4532
2755,Grimontia hollisae,"['J22', 'J148', 'J41', 'J61', 'J30', 'J12', 'J118', '514c', 'J26']",673,Grimontia hollisae,2,3998439,1979634,3654,3478
2756,Salinactinospora qingdaonensis,"['J569', 'J351', '1302', '514', '1240']",2056231,Pseudomonas qingdaonensis,1,5938989,3789498,5466,5294
2757,Xanthobacter viscosus,['1'],2528964,Xanthobacter dioxanivorans,5,6650762,4518999,6357,6012
2758,Marichromatium purpuratum,"['J357', '830', '776', '545', 'J346', '1229', '92', 'J118', 'J211', '28', '514', '693']",765910,Marichromatium purpuratum 984,1,3779112,2564660,3333,3229
2759,Haemophilus haemolyticus,"['429b', '804']",726,Haemophilus haemolyticus,1,1934644,744807,1864,1758
2760,Neisseria sicca,['693'],490,Neisseria sicca,1,2566407,1310396,2426,2266
2761,Hydrogenovibrio thermophilus,"['J413', '1011', '142']",265883,Hydrogenovibrio thermophilus,1,2612894,1318952,2457,2394
2762,Paenibacillus azoreducens,['1'],116718,Paenibacillus azoreducens,1,7316152,3510146,6571,6359
2763,Thiolapillus brandeum,"['J493', '1131']",1076588,Thiolapillus brandeum,3,3153637,1773538,3004,2934
2764,Escherichia marmotae,['1'],1499973,Escherichia marmotae,2,4669757,2352614,4465,4233
2765,Polynucleobacter difficilis,['830'],556054,Polynucleobacter difficilis,1,1995529,987913,2049,1992
2766,Nonomuraea terrinata,"['535', '65', '553']",1122611,Nonomuraea coxensis DSM 45129,1,9073954,6548501,8551,8372
2767,Kribbella hippodromi,"['535', '65', 'J43']",479435,Kribbella flavida DSM 17836,1,7579488,5348686,7131,7033
2768,Thermococcus guaymasensis,"['90', '806', '760', '1713', '1715', 'J280', 'J161', '215', '693']",1432656,Thermococcus guaymasensis DSM 11113,1,1920914,1015439,2151,2077
2769,Mediterraneibacter gnavus,"['110', '104']",411470,Mediterraneibacter gnavus ATCC 29149,1,3549191,1521675,3556,3416
2770,Microbacterium caowuchunii,['693'],2614638,Microbacterium caowuchunii,1,3262719,2290681,3090,3010
2771,Lysinibacillus pakistanensis,"['J74', '220', 'J75']",759811,Lysinibacillus pakistanensis,1,5249694,1923150,5235,5000
2772,Achromobacter xylosoxidans,"['J22', 'J12', '461', '1']",85698,Achromobacter xylosoxidans,2,6901970,4657106,6445,6330
2773,Pseudomonas mediterranea,['220'],183795,Pseudomonas mediterranea,1,6346235,3884148,5602,5466
2774,Burkholderia metallica,"['830', '693']",488729,Burkholderia metallica,3,7424240,4980910,6702,6523
2775,Thiomicrospira thyasirae,"['484', '9']",717772,Thiomicrospira aerophila AL3,1,2158359,990950,2104,2044
2776,Kineococcus radiotolerans,"['J43', '914']",266940,Kineococcus radiotolerans SRS30216 = ATCC BAA-149,3,4956672,3680088,4765,4678
2777,Vitreoscilla stercoraria,"['477', '90', '34', 'J1084', '189', '9']",61,Vitreoscilla stercoraria,3,2661781,1171514,2623,2467
2778,Chromohalobacter salexigens,"['J377', '514b', '276']",290398,Chromohalobacter salexigens DSM 3043,1,3696649,2362597,3409,3306
2779,Nocardiopsis coralliicola,"['J61', 'J51', '83', '514', '65']",2831968,Nocardiopsis akebiae,1,6602217,4780861,5697,5553
2780,Arthrobacter agilis,"['J22', '53', '714', '65']",37921,Arthrobacter agilis,4,3786308,2575820,3570,3488
2781,Streptomyces erringtonii,['65'],2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2782,Paracoccus aminovorans,"['J22', '774']",34004,Paracoccus aminovorans,4,4038130,2722407,3945,3737
2783,Lactococcus cremoris subsp. cremoris,['92'],1295826,Lactococcus cremoris subsp. cremoris KW2,1,2427048,867523,2359,2258
2784,Flammeovirga yaeyamensis,['514'],367791,Flammeovirga yaeyamensis,2,7433553,2568897,5691,5557
2785,Pedobacter heparinus,"['J22', '220', '104c', '339a', '785', '535', '104', '381', '1']",485917,Pedobacter heparinus DSM 2366,1,5167383,2172827,4286,4224
2786,Streptomyces thermolineatus,"['J49', '310', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2787,Thermosipho activus,['1011b'],484019,Thermosipho africanus TCF52B,1,2016657,621348,2042,1950
2788,Paraburkholderia phymatum,"['220', '830']",391038,Paraburkholderia phymatum STM815,4,8676562,5404839,7909,7518
2789,Legionella geestiana,['585'],45065,Legionella geestiana,2,2666749,1356971,2394,2306
2790,Streptomyces noboritoensis,"['J45', 'J42', '65', 'J58']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2791,Shewanella xiamenensis,"['J443', '514']",332186,Shewanella xiamenensis,2,5041619,2331481,4477,4296
2792,Clostridium uzonii,['677'],84022,Clostridium aceticum,2,4207037,1484407,3986,3841
2793,Herbinix luporum,['255'],1679721,Herbinix luporum,1,2609352,919852,2436,2339
2794,Spiroplasma lineolae,['1076b'],216931,Spiroplasma alleghenense,1,1336077,394025,1183,1140
2795,Thermococcus barophilus,['760'],391623,Thermococcus barophilus MP,2,2064237,860100,2281,2213
2796,Shigella flexneri,"['1', '693', '92']",198214,Shigella flexneri 2a str. 301,2,4828820,2446009,4788,4313
2797,Pseudomonas brenneri,"['220', 'J12', '457', '1']",129817,Pseudomonas brenneri,1,6032706,3628155,5553,5369
2798,Pseudomonas germanica,"['1749', '1', '535']",2815720,Pseudomonas germanica,1,6713530,3967162,6005,5844
2799,Streptomyces rubrus,['514'],2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2800,Citrobacter sedlakii,"['535', '693']",67826,Citrobacter sedlakii,3,4967243,2699546,4759,4536
2801,Clostridium amazonense,['104b'],84022,Clostridium aceticum,2,4207037,1484407,3986,3841
2802,Delftia deserti,"['J27', '535']",398578,Delftia acidovorans SPH-1,1,6767514,4498790,6261,6131
2803,Microbacterium zeae,['92'],936337,Microbacterium amylolyticum,2,2588344,1670013,2507,2381
2804,Marinobacter salarius,"['J118', '514']",1420917,Marinobacter salarius,2,4630160,2638638,4279,4201
2805,Fenollaria massiliensis,['78'],938288,Fenollaria massiliensis,1,1609887,558731,1514,1437
2806,Streptomyces axinellae,"['252', 'J42', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2807,Desulfobacter halotolerans,"['195', '638', '92']",2291,Desulfobacter hydrogenophilus,3,5157696,2399813,4628,4507
2808,Acinetobacter soli,"['830', 'J27', '92', '1']",487316,Acinetobacter soli,2,3520755,1507694,3257,3138
2809,Sporomusa termitida,"['65', '645', 'J50', 'J57', 'J43', '621', '535', 'J49', '83', '311c']",2377,Sporomusa termitida,2,5316008,2609910,4964,4782
2810,Streptomyces prasinosporus,"['J66', '65', 'J58']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2811,Halobacillus amylolyticus,['514'],2932259,Halobacillus amylolyticus,2,4299351,1749880,4358,4101
2812,Desulfuromonas carbonis,"['1584', 'J1062']",891,Desulfuromonas acetoxidans,4,3838314,1985055,3444,3373
2813,Halorhodospira halochloris,"['1321', '92', '250', '219', 'J282', '58', '514', '84', '645', '354', '129', '186', 'J1194', '104', '1', '215', '693', '791', 'J43', '535', '141a', '65', '220', '554', '253']",1052,Halorhodospira halochloris,1,2834560,1588146,2590,2494
2814,Desulfobacter hydrogenophilus,['195'],2291,Desulfobacter hydrogenophilus,3,5157696,2399813,4628,4507
2815,Bacillus gobiensis,['220'],1441095,Bacillus gobiensis,1,4597707,1859236,4754,4504
2816,Fictibacillus phosphorivorans,['92'],1221500,Fictibacillus phosphorivorans,1,4230665,1664749,4352,4241
2817,Garritya polymorpha,['668'],1480154,Marchantia polymorpha subsp. ruderalis,9,241484302,105210628,18391,18136
2818,Prevotella intermedia,"['J14', '693', '104']",1122984,Prevotella intermedia ATCC 25611 = DSM 20706,2,2674170,1161703,2236,2106
2819,Xanthomonas translucens,['1'],487909,Xanthomonas translucens pv. undulosa,3,4649333,3159211,4041,3797
2820,Coprococcus eutactus,"['634c', '339a', 'J1130']",411474,Coprococcus eutactus ATCC 27759,1,3113335,1341716,2728,2617
2821,Streptosporangium fragile,"['J52', 'J42', '553', '84', '65']",479432,Streptosporangium roseum DSM 43021,2,10369518,7348162,9306,9095
2822,Vibrio fluvialis,"['J22', 'J7', 'J12', '92', '514', '693']",676,Vibrio fluvialis,2,4827733,2410281,4500,4327
2823,Corynebacterium jeddahense,['693'],1414719,Corynebacterium jeddahense,1,2567696,1719531,2452,2333
2824,Haliangium ochraceum,"['958', 'J341']",502025,Haliangium ochraceum DSM 14365,1,9446314,6563619,6930,6791
2825,Ignavigranum ruoffiae,"['693', '92']",89093,Ignavigranum ruoffiae,1,1949382,773424,1858,1788
2826,Halobacterium noricense,"['J168', 'J574', '372']",223182,Halobacterium noricense,3,3316796,2147639,3555,3419
2827,Macrococcus epidermidis,['92'],1902580,Macrococcus epidermidis,1,2480757,842170,2659,2554
2828,Streptomyces sannanensis,"['84', '65', 'J43']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2829,Caminibacter pacificus,"['792a', 'J1003']",1424653,Caminibacter pacificus,2,1871566,637272,2038,1968
2830,Streptomyces glaucosporus,"['252', 'J51', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2831,Streptomyces septentrionalis,"['252', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
2832,Virgibacillus natechei,['1730'],1216297,Virgibacillus natechei,1,3867590,1486775,3864,3699
2833,Megamonas funiformis,"['J14', '339a', '104', '78', '693']",437897,Megamonas funiformis,1,2310709,727931,2233,2149
2834,Thiomicrorhabdus frisia,['142'],2211106,Thiomicrorhabdus aquaedulcis,2,2537035,1148684,2450,2323
